"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_a","font_size_b","font_size_diff","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"the services and products to be delivered by the ODL'","how the ODL will operate and be managed following the implementation'","-19.43","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"how the ODL will operate and be managed following the implementation'","who will be involved, and what their role/responsibility will be, for both the'","-19.43","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"who will be involved, and what their role/responsibility will be, for both the'","implementation and operational stages'","-19.43","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"implementation and operational stages'","the marketing and communications plan for the ODL'","-19.43","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"the marketing and communications plan for the ODL'","This business plan must be completed and approved by the ODL Steering Committee no'","-19.43","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"This business plan must be completed and approved by the ODL Steering Committee no'","later than September 30, 2003'","-19.43","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"later than September 30, 2003'","Timeline:'","-19.43","0","11.04","11.04","0.0","0","0","0","1","0","0","0","0","0","1",""
"Timeline:'","Those firms/consultants intended to submit a proposal to this RFP must indicate their'","-19.43","0","11.04","11.04","0.0","0","1","0","1","0","0","0","0","0","1",""
"Those firms/consultants intended to submit a proposal to this RFP must indicate their'","intention to do so in an e-mail to Michael Ridley mridley@uoguelph.ca bymailto:mridley@uoguelph.ca April 11 th .'","-19.43","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"intention to do so in an e-mail to Michael Ridley mridley@uoguelph.ca bymailto:mridley@uoguelph.ca April 11 th .'","Proposals may be e-mailed, mailed, couriered or faxed to: Larry Moore'","-19.43","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"Proposals may be e-mailed, mailed, couriered or faxed to: Larry Moore'","lmoore@accessola.com, Executive Director, The Ontario Library Association,mailto:lmoore@accessola.com 100 Lombard'","-19.43","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"lmoore@accessola.com, Executive Director, The Ontario Library Association,mailto:lmoore@accessola.com 100 Lombard'","St., Suite 303, Toronto, ON M5C 1M3. Proposals must be received by Noon on Monday,'","-19.43","0","11.04","9.96","-1.08","1","0","0","1","0","0","0","0","0","1",""
"St., Suite 303, Toronto, ON M5C 1M3. Proposals must be received by Noon on Monday,'","April 21, 2003.'","-19.43","0","9.96","11.04","1.08","0","0","0","1","0","0","0","0","0","1",""
"April 21, 2003.'","Those proposals that are short-listed will be invited to discuss their proposal during the week'","-19.43","0","11.04","11.04","0.0","0","1","0","1","0","0","0","0","0","1",""
"Those proposals that are short-listed will be invited to discuss their proposal during the week'","of April 28, 2003 . No presentation will be expected. Firms or consultants invited to an'","-19.43","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"of April 28, 2003 . No presentation will be expected. Firms or consultants invited to an'","interview will be expected to discuss the project and their approach with the selection'","-19.43","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"interview will be expected to discuss the project and their approach with the selection'","committee .'","-19.43","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"committee .'","Contracts with the firm/consultant will be signed the week of May 5, 2003 with the work to'","-19.43","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"Contracts with the firm/consultant will be signed the week of May 5, 2003 with the work to'","commence as soon as possible thereafter.'","-19.43","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"commence as soon as possible thereafter.'","RFP: To Develop the Ontario Digital Library Business Plan March 2003 2'","-19.43","0","11.04","7.56","-3.48","0","1","0","1","0","0","0","0","0","1",""
"Please note that we reserve the right not to select any of the submitted proposals and may'","seek further response to these Terms of Reference.'","-6.51","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"seek further response to these Terms of Reference.'","If you require further information or have any questions, please contact Michael Ridley by email mridley@uoguelph.camailto:mridley@uoguelph.ca only by 3:00 p.m. on Friday April 18th . All questions and'","-6.51","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"If you require further information or have any questions, please contact Michael Ridley by email mridley@uoguelph.camailto:mridley@uoguelph.ca only by 3:00 p.m. on Friday April 18th . All questions and'","responses will be shared with those who have indicated that they will be submitting a'","-6.51","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"responses will be shared with those who have indicated that they will be submitting a'","proposal. Please note, that firms/consultants who have not indicated in an e-mail to Michael'","-6.51","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"proposal. Please note, that firms/consultants who have not indicated in an e-mail to Michael'","Ridley by April 11 th that they will be submitting a proposal will not receive any further'","-6.51","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"Ridley by April 11 th that they will be submitting a proposal will not receive any further'","information or question responses.'","-6.51","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"information or question responses.'","Background'","1.14","0","11.04","12.0","0.96","0","1","0","1","0","0","0","0","0","1",""
"Background'","First, some background on the ODL. For the last two years the Ontario Library Association'","0.86","-6","12.0","11.04","-0.96","0","0","0","0","0","0","0","0","0","1",""
"First, some background on the ODL. For the last two years the Ontario Library Association'","has acted as a catalyst, bringing together the stakeholders needed to create the Ontario'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"has acted as a catalyst, bringing together the stakeholders needed to create the Ontario'","Digital Library ODL. These stakeholders include Ontario’s 5000+ public libraries, university,'","-28.8","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"Digital Library ODL. These stakeholders include Ontario’s 5000+ public libraries, university,'","college, and school libraries, as well as Ontario government ministries.'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"college, and school libraries, as well as Ontario government ministries.'","Libraries that serve very different clientele recognize that by working together they can create'","-28.8","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"Libraries that serve very different clientele recognize that by working together they can create'","seamless access to quality electronic library services. Through the ODL, students will be'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"seamless access to quality electronic library services. Through the ODL, students will be'","able to explore a topic at school, use the same child-safe resources after school either at'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"able to explore a topic at school, use the same child-safe resources after school either at'","home or at a public library, enter college or university with a knowledge of how to use'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"home or at a public library, enter college or university with a knowledge of how to use'","electronic resources that are still available and then, after graduation, continue to use these'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"electronic resources that are still available and then, after graduation, continue to use these'","skills and resources at work or at home.'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"skills and resources at work or at home.'","We are moving into a period of convergence. With convergence we no longer have to license'","-28.8","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"We are moving into a period of convergence. With convergence we no longer have to license'","commercial products as individual libraries or institutions. We can work together to spend our'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"commercial products as individual libraries or institutions. We can work together to spend our'","money wisely. The provincial government has made this possible by working hard to provide'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"money wisely. The provincial government has made this possible by working hard to provide'","all Ontarians with a stable, high-speed communications infrastructure. While there is still a'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"all Ontarians with a stable, high-speed communications infrastructure. While there is still a'","great deal of work needed to improve this infrastructure, libraries are beginning to plan how'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"great deal of work needed to improve this infrastructure, libraries are beginning to plan how'","best to exploit communications technology. We can reduce barriers to access and create the'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"best to exploit communications technology. We can reduce barriers to access and create the'","content infrastructure needed to support a knowledge society.'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"content infrastructure needed to support a knowledge society.'","The concept of an ODL is a key element in The Roadmap to Prosperity, a strategic plan to'","-28.8","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"The concept of an ODL is a key element in The Roadmap to Prosperity, a strategic plan to'","envision and attain Ontario’s economic goal prepared by the Ontario Jobs and Investment'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"envision and attain Ontario’s economic goal prepared by the Ontario Jobs and Investment'","Board. The OJIB strategic plan recommends an electronic library to “connect students to new'","-28.8","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"Board. The OJIB strategic plan recommends an electronic library to “connect students to new'","workplaces, new sources of information and applied learning opportunities”. The ODL will do'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"workplaces, new sources of information and applied learning opportunities”. The ODL will do'","that and much more. The ODL will connect students to electronic information, and will also'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"that and much more. The ODL will connect students to electronic information, and will also'","leverage this investment to help connect all citizens to the electronic information they need as'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"leverage this investment to help connect all citizens to the electronic information they need as'","they make decisions, solve problems and enhance their quality of life.'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"they make decisions, solve problems and enhance their quality of life.'","Libraries have long been a key delivery point for public services. The ODL will allow that'","-28.8","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"Libraries have long been a key delivery point for public services. The ODL will allow that'","delivery point to move closer to citizens, into the smallest of libraries and even into living'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"delivery point to move closer to citizens, into the smallest of libraries and even into living'","rooms.'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"rooms.'","Libraries have a long tradition of using a practical, consultative approach to solving problems,'","-28.8","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"Libraries have a long tradition of using a practical, consultative approach to solving problems,'","and of learning from others. The ODL is a very practical solution to various problems.'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"and of learning from others. The ODL is a very practical solution to various problems.'","Jurisdiction-wide digital libraries are very practical and very real. The ODL we propose is'","-28.8","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"Jurisdiction-wide digital libraries are very practical and very real. The ODL we propose is'","leading edge for Ontario but several jurisdictions have forged the path with collaborative'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"leading edge for Ontario but several jurisdictions have forged the path with collaborative'","digital libraries. We can learn from their experiences. For example, The Alberta Library TAL'","-28.8","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"digital libraries. We can learn from their experiences. For example, The Alberta Library TAL'","RFP: To Develop the Ontario Digital Library Business Plan March 2003 3'","-28.8","0","11.04","7.56","-3.48","0","0","0","1","0","0","0","0","0","1",""
"was incorporated in 1997 as a province-wide library consortium. TAL works collaboratively'","with its members to promote universal access to materials and resources in more than 250'","-55.92","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"with its members to promote universal access to materials and resources in more than 250'","public, post-secondary, special, government and regional libraries. Unlike ODL, TAL does'","-55.92","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"public, post-secondary, special, government and regional libraries. Unlike ODL, TAL does'","not include elementary or secondary schools. However, the timeline and funding we are'","-55.92","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"not include elementary or secondary schools. However, the timeline and funding we are'","proposing for ODL is comparable to TAL‘s experience. TAL’s business planning took several'","-55.92","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"proposing for ODL is comparable to TAL‘s experience. TAL’s business planning took several'","years. TAL’s implementation plan was supported by 8 million dollars in provincially shared'","-55.92","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"years. TAL’s implementation plan was supported by 8 million dollars in provincially shared'","funding, spread over three years, later revised to 15 million dollars over 4 years. Not only is'","-55.92","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"funding, spread over three years, later revised to 15 million dollars over 4 years. Not only is'","Alberta’s population 30% of Ontario’s, TAL does not include elementary or secondary'","-55.92","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"Alberta’s population 30% of Ontario’s, TAL does not include elementary or secondary'","schools as partners; it has 250 member libraries. ODL envisions universal access for all'","-55.92","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"schools as partners; it has 250 member libraries. ODL envisions universal access for all'","10,000,000 Ontarians, with more than 5000 Ontario libraries as partners. Although ODL can'","-55.92","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"10,000,000 Ontarians, with more than 5000 Ontario libraries as partners. Although ODL can'","learn from TAL’s practices, the scope of planning and implementing ODL is much larger than'","-55.92","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"learn from TAL’s practices, the scope of planning and implementing ODL is much larger than'","TAL.'","-55.92","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"TAL.'","The ODL will be a partnership-based organization providing seamless electronic information'","-55.92","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"The ODL will be a partnership-based organization providing seamless electronic information'","services and resources to the citizens of Ontario. It will use local libraries as the entry point for'","-55.92","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"services and resources to the citizens of Ontario. It will use local libraries as the entry point for'","common resources The ODL will recognize the unique responsibilities and needs of public'","-55.92","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"common resources The ODL will recognize the unique responsibilities and needs of public'","libraries, school libraries, college and university libraries and special libraries. The ODL'","-55.92","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"libraries, school libraries, college and university libraries and special libraries. The ODL'","envisions a digital network of information resources, allowing members to collaborate when'","-55.92","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"envisions a digital network of information resources, allowing members to collaborate when'","there is mutual benefit and to support the common mandates of local libraries.'","-55.92","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"there is mutual benefit and to support the common mandates of local libraries.'","The principles which will define and guide the ODL are:'","-55.92","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"The principles which will define and guide the ODL are:'","Equitable access for all Ontarians:'","-55.92","0","11.04","11.04","0.0","0","1","0","1","0","0","0","0","0","1",""
"Equitable access for all Ontarians:'","We will bring consistent, high-quality electronic resources and services to 10 million'","-55.92","0","11.04","11.04","0.0","0","1","0","1","0","0","0","0","0","1",""
"We will bring consistent, high-quality electronic resources and services to 10 million'","Ontario citizens'","-55.92","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"Ontario citizens'","We will eliminate barriers to the access to information and create more consistent'","-55.92","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"We will eliminate barriers to the access to information and create more consistent'","services for library clients.'","-55.92","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"services for library clients.'","Shared decision-making and accountability:'","-55.92","0","11.04","11.04","0.0","0","1","0","1","0","0","0","0","0","1",""
"Shared decision-making and accountability:'","We will facilitate consensus among members regarding ODL’s portfolio of electronic'","-55.92","0","11.04","11.04","0.0","0","1","0","1","0","0","0","0","0","1",""
"We will facilitate consensus among members regarding ODL’s portfolio of electronic'","licenses and services'","-55.92","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"licenses and services'","We will balance the interests and realities of small and large as well as rich and poor'","-55.92","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"We will balance the interests and realities of small and large as well as rich and poor'","communities and institutions.'","-55.92","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"communities and institutions.'","Shared governance structure:'","-55.92","0","11.04","11.04","0.0","0","1","0","1","0","0","0","0","0","1",""
"Shared governance structure:'","We will share decision-making in order to enable the people we serve.'","-55.92","0","11.04","11.04","0.0","0","1","0","1","0","0","0","0","0","1",""
"We will share decision-making in order to enable the people we serve.'","We will work based on an underlying assumption of trust and synergy.'","-55.92","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"We will work based on an underlying assumption of trust and synergy.'","Shared funding:'","-55.92","0","11.04","11.04","0.0","0","1","0","1","0","0","0","0","0","1",""
"Shared funding:'","We will leverage provincial, institutional, and local dollars to realize economies of scale'","-55.92","0","11.04","11.04","0.0","0","1","0","1","0","0","0","0","0","1",""
"We will leverage provincial, institutional, and local dollars to realize economies of scale'","and put Ontario dollars to work for everyone .'","-55.92","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"and put Ontario dollars to work for everyone .'","We will be willing to pool talents and dollars in order to provide common services that are'","-55.92","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"We will be willing to pool talents and dollars in order to provide common services that are'","truly greater than those that can be maintained by individual institutions.'","-55.92","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"truly greater than those that can be maintained by individual institutions.'","RFP: To Develop the Ontario Digital Library Business Plan March 2003 4'","-55.92","0","11.04","7.56","-3.48","0","1","0","1","0","0","0","0","0","1",""
"Local points of entry:'","We will provide the licenses, infrastructure, services and support that enable local'","-7.42","0","11.04","11.04","0.0","0","1","0","1","0","0","0","0","0","1",""
"We will provide the licenses, infrastructure, services and support that enable local'","libraries to provide exceptional services to their clientele. ODL will focus on support,'","-7.42","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"libraries to provide exceptional services to their clientele. ODL will focus on support,'","providing the underpinning, not overshadowing.'","-7.42","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"providing the underpinning, not overshadowing.'","Services envisioned for the ODL’s include:'","-7.42","0","11.04","11.04","0.0","1","1","0","1","0","0","0","0","0","1",""
"Services envisioned for the ODL’s include:'","Access:'","1.0","0","11.04","11.04","0.0","0","1","0","1","0","1","0","0","0","1",""
"Access:'","to the “deep” web i.e. Commercial, purchased electronic services'","-5.33","0","11.04","11.04","0.0","0","1","1","1","1","1","0","0","0","1",""
"to the “deep” web i.e. Commercial, purchased electronic services'","to credible web sites and electronic resources'","-5.33","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"to credible web sites and electronic resources'","to digital government information'","-5.33","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"to digital government information'","to local digital collections'","-5.33","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"to local digital collections'","Guidance and Advice:'","1.0","0","11.04","11.04","0.0","0","0","0","1","1","0","0","0","0","1",""
"Guidance and Advice:'","to support e-learning'","-0.08","0","11.04","11.04","0.0","0","1","1","1","0","1","0","0","0","1",""
"to support e-learning'","to support citizens, in real-time, as they try to use electronic resources'","-4.33","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"to support citizens, in real-time, as they try to use electronic resources'","to assist citizens as they use web-links'","-4.33","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"to assist citizens as they use web-links'","Training:'","-4.33","0","11.04","11.04","0.0","0","0","0","1","1","1","0","0","0","1",""
"Training:'","for library workers'","-0.08","18","11.04","11.04","0.0","0","1","1","0","1","0","0","0","0","1",""
"for library workers'","for the general public'","-2.17","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"for the general public'","Provincial Purchasing & Licensing:'","1.0","-18","11.04","11.04","0.0","0","0","0","0","0","1","0","0","0","1",""
"Provincial Purchasing & Licensing:'","of electronic content on a consortia basis for all member libraries'","-2.17","0","11.04","11.04","0.0","0","1","1","1","1","1","0","0","0","1",""
"of electronic content on a consortia basis for all member libraries'","Technological Support:'","1.0","0","11.04","11.04","0.0","0","0","0","1","1","0","0","0","0","1",""
"Technological Support:'","of common standards for the preservation and archiving local digital content'","-7.83","0","11.04","11.04","0.0","0","1","1","1","0","0","0","0","0","1",""
"of common standards for the preservation and archiving local digital content'","of a common interface to ODL resources and services that can be imbedded in local'","-7.83","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"of a common interface to ODL resources and services that can be imbedded in local'","library web sites'","-7.83","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"library web sites'","What could the ODL really mean?'","-7.83","0","11.04","11.04","0.0","0","0","0","1","0","0","0","0","0","1",""
"What could the ODL really mean?'","For each Ontario citizen it could mean:'","0.92","0","11.04","11.04","0.0","0","1","0","1","0","0","0","0","0","1",""
"For each Ontario citizen it could mean:'","One local point of entry to access seamless electronic library services and'","-20.83","0","11.04","11.04","0.0","0","1","0","1","0","0","0","0","0","1",""
"One local point of entry to access seamless electronic library services and'","resources for their personal, educational and professional needs;'","-20.83","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"resources for their personal, educational and professional needs;'","Access to credible, high-quality, user-friendly electronic services through their'","-20.83","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"Access to credible, high-quality, user-friendly electronic services through their'","community, school, or academic library;'","-20.83","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"community, school, or academic library;'","Confidence that the electronic services and sources they – and their children'","-20.83","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"Confidence that the electronic services and sources they – and their children'","– are using are safe, valid, and bringing them both global and local'","-20.83","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"– are using are safe, valid, and bringing them both global and local'","perspectives;'","-20.83","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"perspectives;'","Electronic information and tools that enhance job skills and the learning'","-20.83","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"Electronic information and tools that enhance job skills and the learning'","experience'","-20.83","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"experience'","For each Ontario student it could mean:'","-20.83","0","11.04","11.04","0.0","0","0","0","1","0","0","0","0","0","1",""
"For each Ontario student it could mean:'","One local point of entry to quality, curriculum- based electronic information'","-20.83","0","11.04","11.04","0.0","0","1","0","1","0","0","0","0","0","1",""
"One local point of entry to quality, curriculum- based electronic information'","resources and services'","-20.83","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"resources and services'","Connection to their individual educational environment, whether at the'","-20.83","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"Connection to their individual educational environment, whether at the'","elementary, secondary or post-secondary levels'","-20.83","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"elementary, secondary or post-secondary levels'","RFP: To Develop the Ontario Digital Library Business Plan March 2003 5'","-20.83","0","11.04","7.56","-3.48","0","0","0","1","0","0","0","0","0","1",""
"Confidence that the services and resources people are using are credible,'","available when they need them and adaptable to different learning styles'","-1.62","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"available when they need them and adaptable to different learning styles'","For each Ontario library it could mean:'","0.75","-72","11.04","11.04","0.0","0","0","0","0","0","1","0","0","0","1",""
"For each Ontario library it could mean:'","One point of entry for themselves and their clientele to quality electronic'","-6.31","0","11.04","11.04","0.0","0","1","0","1","1","1","0","0","0","1",""
"One point of entry for themselves and their clientele to quality electronic'","resources and services that support and enhance their collections, programs'","-6.31","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"resources and services that support and enhance their collections, programs'","and services'","-6.31","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"and services'","The opportunity to show case their local community, collections, services, and'","-6.31","0","11.04","11.04","0.0","1","0","0","1","1","1","0","0","0","1",""
"The opportunity to show case their local community, collections, services, and'","expertise'","-6.31","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"expertise'","The opportunity to gain from the provincial, collaborative partnership in order'","-6.31","0","11.04","11.04","0.0","1","0","0","1","1","1","0","0","0","1",""
"The opportunity to gain from the provincial, collaborative partnership in order'","to provide a seamless gateway to digital resources and services'","-6.31","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"to provide a seamless gateway to digital resources and services'","For the Ontario government it could mean:'","0.75","0","11.04","11.04","0.0","0","0","0","1","1","0","0","0","0","1",""
"For the Ontario government it could mean:'","A point of entry to information services and resources for all Ontario citizens,'","-13.5","0","11.04","11.04","0.0","0","1","0","1","0","0","0","0","0","1",""
"A point of entry to information services and resources for all Ontario citizens,'","connecting to portal initiatives .'","-13.5","0","11.04","11.04","0.0","0","0","1","1","0","0","0","0","0","1",""
