text_a,text_b,normalized_vertical_gap,indentation_change,font_size_diff,same_font,line_a_ends_punctuation,line_b_starts_lowercase,same_alignment,is_centered_A,is_centered_B,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,label
4.  References  ..........................................................................................................................................  12 ,4.1  Trademarks  .............................................................................................................................  12 ,1.04,9.96,0.0,0,0,0,1,1,1,0,0,0,1,
4.1  Trademarks  .............................................................................................................................  12 ,4.2  Documents and Web Sites .......................................................................................................  12 ,0.07,0.01,0.0,1,0,0,1,1,1,0,0,0,1,
4.2  Documents and Web Sites .......................................................................................................  12 ,"Version 2014  Page 4 of 12  May 31, 2014 ",54.37,-4.31,0.0,0,0,0,1,1,1,0,0,0,1,
"Version 2014  Page 4 of 12  May 31, 2014 ",© International Software Testing Qualifications Board ,1.08,-0.02,-3.96,0,0,0,0,1,0,0,0,0,1,
Overview  International ,Software Testing ,-11.51,363.53,-2.04,1,0,0,0,1,0,0,0,0,1,
Software Testing ,Foundation Level Extension – Agile Tester  Qualifications  Board ,-6.75,-363.53,0.0,1,0,0,0,0,1,0,0,0,1,
Foundation Level Extension – Agile Tester  Qualifications  Board ,Acknowledgements ,86.46,-3.48,6.0,1,0,0,0,1,0,0,0,0,1,
Acknowledgements ,This document was produced by a team from the International Software Testing Qualifications Board ,43.3,0.0,-6.0,1,0,0,0,0,1,0,0,0,1,
This document was produced by a team from the International Software Testing Qualifications Board ,Foundation Level Working Group. ,0.71,0.0,0.0,1,0,0,0,1,0,0,0,0,1,
Foundation Level Working Group. ,The Agile Extension team thanks the review team and the National Boards for their suggestions and input. ,28.52,0.0,0.0,1,1,0,0,0,1,0,0,0,1,
The Agile Extension team thanks the review team and the National Boards for their suggestions and input. ,"At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working ",28.52,0.0,0.0,1,1,0,1,1,1,0,0,0,1,
"At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working ","Group had the following membership: Rex Black (Chair), Bertrand Cornanguer (Vice Chair), Gerry ",0.71,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
"Group had the following membership: Rex Black (Chair), Bertrand Cornanguer (Vice Chair), Gerry ","Coleman (Learning Objectives Lead), Debra Friedenberg (Exam Lead), Alon Linetzki (Business Outcomes ",1.0,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
"Coleman (Learning Objectives Lead), Debra Friedenberg (Exam Lead), Alon Linetzki (Business Outcomes ","and Marketing Lead), Tauhida Parveen (Editor), and Leo van der Aalst (Development Lead). ",1.07,0.0,0.0,1,0,1,0,1,0,0,0,0,1,
"and Marketing Lead), Tauhida Parveen (Editor), and Leo van der Aalst (Development Lead). ","Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon ",28.52,0.0,0.0,1,1,0,0,0,1,0,0,0,1,
"Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon ","Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber. ",1.0,0.0,0.0,1,0,0,0,1,0,0,0,0,1,
"Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber. ","Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra ",28.24,0.0,0.0,1,1,0,0,0,1,0,0,0,1,
"Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra ","Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula ",1.0,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
"Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula ","Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytkönen, Monika Stoecklein-Olsen, ",1.0,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
"Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytkönen, Monika Stoecklein-Olsen, ","Robert Treffny, Chris Van Bael, and Erik van Veenendaal. ",1.0,0.0,0.0,1,0,0,0,1,0,0,0,0,1,
"Robert Treffny, Chris Van Bael, and Erik van Veenendaal. ","The team thanks also the following persons, from the National Boards and the Agile expert community, ",28.24,0.0,0.0,1,1,0,0,0,1,0,0,0,1,
"The team thanks also the following persons, from the National Boards and the Agile expert community, ","who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani ",1.0,0.0,0.0,1,0,1,1,1,1,0,0,0,1,
"who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani ","Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng Chai, Josephine Crawford, Tibor Csöndes, ",1.0,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
"Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng Chai, Josephine Crawford, Tibor Csöndes, ","Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill ",1.05,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
"Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill ","Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter ",1.0,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
"Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter ","Morgan, Ninna Morin, Ingvar Nordstrom, Chris O’Dea, Klaus Olsen, Ismo Paukamainen, Nathalie Phung,",1.0,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
"Morgan, Ninna Morin, Ingvar Nordstrom, Chris O’Dea, Klaus Olsen, Ismo Paukamainen, Nathalie Phung,","Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombouts, Petri Säilynoja, Soile Sainio, Lars-Erik ",0.71,-0.0,0.0,1,0,0,1,1,1,0,0,0,1,
"Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombouts, Petri Säilynoja, Soile Sainio, Lars-Erik ","Sandberg, Dakar Shalom,  Jian Shen, Marco Sogliani, Lucjan Stapp, Yaron Tsubery, Sabine Uhde, ",1.0,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
"Sandberg, Dakar Shalom,  Jian Shen, Marco Sogliani, Lucjan Stapp, Yaron Tsubery, Sabine Uhde, ","Stephanie Ulrich, Tommi Välimäki, Jurian Van de Laar, Marnix Van den Ent, António Vieira Melo, Wenye ",1.0,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
"Stephanie Ulrich, Tommi Välimäki, Jurian Van de Laar, Marnix Van den Ent, António Vieira Melo, Wenye ","Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Zivanovic, and Terry Zuo. ",1.0,0.0,0.0,1,0,0,0,1,0,0,0,0,1,
"Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Zivanovic, and Terry Zuo. ","This document was formally approved for release by the General Assembly of the ISTQB® on May 31, ",28.24,0.0,0.0,1,1,0,0,0,1,0,0,0,1,
"This document was formally approved for release by the General Assembly of the ISTQB® on May 31, ",2014. ,1.0,0.0,0.0,1,0,0,0,1,0,0,0,0,1,
2014. ,"Version 2014  Page 5 of 12  May 31, 2014 ",520.69,5.64,0.0,0,1,0,0,0,1,0,0,0,1,
"Version 2014  Page 5 of 12  May 31, 2014 ",© International Software Testing Qualifications Board ,16.15,0.0,-3.96,0,0,0,0,1,0,0,0,0,1,
Overview  International ,Software Testing ,-11.51,363.53,-2.04,1,0,0,0,1,0,0,0,0,1,
Software Testing ,Foundation Level Extension – Agile Tester  Qualifications Board ,-6.75,-363.53,0.0,1,0,0,0,0,1,0,0,0,1,
Foundation Level Extension – Agile Tester  Qualifications Board ,1.  Introduction to the Foundation Level Extensions ,120.01,-3.48,6.0,1,0,0,0,1,0,0,0,0,1,
1.  Introduction to the Foundation Level Extensions ,This overview document is intended for anyone with an interest in the ISTQB Foundation Level ,13.18,0.0,-6.0,1,0,0,0,0,1,0,0,0,1,
This overview document is intended for anyone with an interest in the ISTQB Foundation Level ,Extensions who wants a high-level introduction to the leading principles and an overview of the individual ,1.0,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
Extensions who wants a high-level introduction to the leading principles and an overview of the individual ,extension syllabi. ,1.0,-0.0,0.0,1,0,1,0,1,0,0,0,0,1,
extension syllabi. ,"From time to time, ISTQB will update this document to reflect any additional extensions that shall be ",28.24,0.0,0.0,1,1,0,0,0,1,0,0,0,1,
"From time to time, ISTQB will update this document to reflect any additional extensions that shall be ","introduced for the Foundation Level, or to reflect major changes in existing ones. Publications of the ",1.0,0.0,0.0,1,0,1,1,1,1,0,0,0,1,
"introduced for the Foundation Level, or to reflect major changes in existing ones. Publications of the ",updated document will be available on the ISTQB website. ,1.0,0.0,0.0,1,0,1,0,1,0,0,0,0,1,
updated document will be available on the ISTQB website. ,The ISTQB Foundation and Advanced Level syllabi have been defined and have been on the market for ,28.59,0.0,0.0,1,1,0,0,0,1,0,0,0,1,
The ISTQB Foundation and Advanced Level syllabi have been defined and have been on the market for ,some time. New topics emerge due to technology and methodology changes in the market which often ,0.71,0.0,0.0,1,0,1,1,1,1,0,0,0,1,
some time. New topics emerge due to technology and methodology changes in the market which often ,"are brought into the ISTQB program as new Expert Level syllabi. However, not all topics are suited for the ",1.0,0.0,0.0,1,0,1,1,1,1,0,0,0,1,
"are brought into the ISTQB program as new Expert Level syllabi. However, not all topics are suited for the ","Expert Level. For this reason, the extension syllabi are established at the Foundation Level to expand the ",1.0,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
"Expert Level. For this reason, the extension syllabi are established at the Foundation Level to expand the ",ISTQB program to incorporate new or updated knowledge. New extensions shall be discussed and ,1.0,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
ISTQB program to incorporate new or updated knowledge. New extensions shall be discussed and ,"introduced by the ISTQB periodically. Extensions may be established at the Advanced Level as well, but ",1.0,0.0,0.0,1,0,1,1,1,1,0,0,0,1,
"introduced by the ISTQB periodically. Extensions may be established at the Advanced Level as well, but ",that is beyond the scope of this document. ,1.0,0.0,0.0,1,0,1,0,1,0,0,0,0,1,
that is beyond the scope of this document. ,The following Foundation Level Extension syllabus has been released: ,28.24,0.0,0.0,1,1,0,1,0,0,0,0,0,1,
The following Foundation Level Extension syllabus has been released: , Agile Tester ,0.33,18.01,0.0,0,0,0,1,0,0,0,0,0,1,
 Agile Tester ,"In this document, each Foundation Level Extension syllabus is summarized and the associated Business ",28.09,-18.0,0.0,0,0,0,0,0,1,0,0,0,1,
"In this document, each Foundation Level Extension syllabus is summarized and the associated Business ",Outcomes are stated. The Business Outcomes communicate what can be expected from a person who ,1.0,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
Outcomes are stated. The Business Outcomes communicate what can be expected from a person who ,"achieves a Foundation Level Extension Certification in a particular subject area (e.g., Agile Tester), and ",1.05,0.0,0.0,1,0,1,1,1,1,0,0,0,1,
"achieves a Foundation Level Extension Certification in a particular subject area (e.g., Agile Tester), and ",will outline the benefits for companies that are considering the development of specific testing skills at this ,1.0,0.0,0.0,1,0,1,1,1,1,0,0,0,1,
will outline the benefits for companies that are considering the development of specific testing skills at this ,level. ,1.0,0.0,0.0,1,0,1,0,1,0,0,0,0,1,
level. ,"Version 2014  Page 6 of 12  May 31, 2014 ",707.64,5.64,0.0,0,1,0,0,0,1,0,0,0,1,
"Version 2014  Page 6 of 12  May 31, 2014 ",© International Software Testing Qualifications Board ,16.18,-0.01,-3.96,0,0,0,0,1,0,0,0,0,1,
Overview  International ,Software Testing ,-11.51,363.53,-2.04,1,0,0,0,1,0,0,0,0,1,
Software Testing ,Foundation Level Extension – Agile Tester  Qualifications Board ,-6.75,-363.53,0.0,1,0,0,0,0,1,0,0,0,1,
Foundation Level Extension – Agile Tester  Qualifications Board ,2.  Introduction to Foundation Level Agile Tester Extension ,120.01,-3.48,6.0,1,0,0,1,1,1,0,0,0,1,
2.  Introduction to Foundation Level Agile Tester Extension ,The certification for Foundation Level Extension – Agile Tester is designed for professionals who are ,13.18,0.0,-6.0,1,0,0,1,1,1,0,0,0,1,
The certification for Foundation Level Extension – Agile Tester is designed for professionals who are ,working within Agile environments. It is also for professionals who are planning to start implementing ,1.0,0.0,0.0,1,0,1,1,1,1,0,0,0,1,
working within Agile environments. It is also for professionals who are planning to start implementing ,"Agile methods in the near future, or are working within companies that plan to do so, The certification ",1.0,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
"Agile methods in the near future, or are working within companies that plan to do so, The certification ","provides an advantage for those who would like to know the required Agile activities, roles, methods, and ",1.0,0.01,0.0,1,0,1,1,1,1,0,0,0,1,
"provides an advantage for those who would like to know the required Agile activities, roles, methods, and ",methodologies specific to their role. ,0.71,0.0,0.0,1,0,1,0,1,0,0,0,0,1,
methodologies specific to their role. ,2.1 Intended Audience ,33.43,-0.01,4.08,1,1,0,1,0,0,0,0,0,1,
2.1 Intended Audience ,The Foundation Level Extension – Agile Tester qualification is aimed at four main groups of professionals: ,18.81,0.0,-4.08,1,0,0,0,0,1,0,0,0,1,
The Foundation Level Extension – Agile Tester qualification is aimed at four main groups of professionals: ,1. Professionals who have achieved in-depth testing experience in traditional methods and would ,1.0,18.0,0.0,1,0,0,1,1,1,0,0,0,1,
1. Professionals who have achieved in-depth testing experience in traditional methods and would ,like to get an Agile Tester Certificate. ,1.0,18.0,0.0,1,0,1,0,1,0,0,0,0,1,
like to get an Agile Tester Certificate. ,"2. Junior professional testers who are just starting in the testing profession, have received the ",1.0,-18.0,0.0,1,1,0,0,0,1,0,0,0,1,
"2. Junior professional testers who are just starting in the testing profession, have received the ","Foundation Level certificate, and would like to know more about the tester’s role in an Agile ",1.0,18.0,0.0,1,0,0,0,1,0,0,0,0,1,
"Foundation Level certificate, and would like to know more about the tester’s role in an Agile ",environment. ,0.71,0.01,0.0,1,0,1,1,0,0,0,0,0,1,
environment. ,"3. Professionals who are relatively new to testing and are required to implement test approaches, ",1.0,-18.0,0.0,1,1,0,0,0,1,0,0,0,1,
"3. Professionals who are relatively new to testing and are required to implement test approaches, ",methods and techniques in their day to day job in Agile projects. ,1.0,18.01,0.0,1,0,1,0,1,0,0,0,0,1,
methods and techniques in their day to day job in Agile projects. ,4. Professionals who are experienced in their role (including unit testing) and need more ,1.0,-18.0,0.0,1,1,0,0,0,1,0,0,0,1,
4. Professionals who are experienced in their role (including unit testing) and need more ,understanding and knowledge about how to perform and manage testing on all levels in Agile ,1.0,18.0,0.0,1,0,1,0,1,0,0,0,0,1,
understanding and knowledge about how to perform and manage testing on all levels in Agile ,projects. ,1.0,0.0,0.0,1,0,1,1,0,0,0,0,0,1,
projects. ,"These professionals include people who are in roles such as testers, test analysts, test engineers, test ",28.24,-36.0,0.0,1,1,0,0,0,1,0,0,0,1,
"These professionals include people who are in roles such as testers, test analysts, test engineers, test ","consultants, test managers, user acceptance testers, and software developers. ",1.05,0.01,0.0,1,0,1,0,1,0,0,0,0,1,
"consultants, test managers, user acceptance testers, and software developers. ",This Foundation Level Extension – Agile Tester certification may also be appropriate for anyone who ,28.52,0.0,0.0,1,1,0,0,0,1,0,0,0,1,
This Foundation Level Extension – Agile Tester certification may also be appropriate for anyone who ,"wants a deeper understanding of software testing in the Agile world, such as project managers, quality ",1.0,0.0,0.0,1,0,1,1,1,1,0,0,0,1,
"wants a deeper understanding of software testing in the Agile world, such as project managers, quality ","managers, software development managers, business analysts, IT directors, and management ",0.71,0.0,0.0,1,0,1,1,1,1,0,0,0,1,
"managers, software development managers, business analysts, IT directors, and management ",consultants. ,1.0,0.0,0.0,1,0,1,0,1,0,0,0,0,1,
consultants. ,2.2 Career Paths for Testers ,60.89,-0.03,4.08,1,1,0,1,0,0,0,0,0,1,
2.2 Career Paths for Testers ,"Building on the Foundation Level, the Agile Tester Extension supports the definition of career paths for ",18.74,0.0,-4.08,1,0,0,0,0,1,0,0,0,1,
"Building on the Foundation Level, the Agile Tester Extension supports the definition of career paths for ",professional testers. A person with the Agile Tester certificate has extended the broad understanding of ,1.0,0.0,0.0,1,0,1,1,1,1,0,0,0,1,
professional testers. A person with the Agile Tester certificate has extended the broad understanding of ,testing acquired at the Foundation Level to enable him or her to work effectively as a professional tester in ,1.0,0.0,0.0,1,0,1,1,1,1,0,0,0,1,
testing acquired at the Foundation Level to enable him or her to work effectively as a professional tester in ,an Agile project.  ,0.71,0.01,0.0,1,0,1,0,1,0,0,0,0,1,
an Agile project.  ,People possessing an ISTQB Foundation Level Extension – Agile Tester certificate may use the Certified ,28.59,0.01,0.0,1,1,0,0,0,1,0,0,0,1,
People possessing an ISTQB Foundation Level Extension – Agile Tester certificate may use the Certified ,Tester Foundation Level acronym CTFL-AT. ,1.0,-0.0,0.0,1,0,0,0,1,0,0,0,0,1,
Tester Foundation Level acronym CTFL-AT. ,2.3 Learning Objectives ,60.98,-0.02,4.08,1,1,0,1,0,0,0,0,0,1,
2.3 Learning Objectives ,"In general, the Foundation Level syllabus is examinable at a K1 level, i.e., the candidate will recognize, ",18.74,0.0,-4.08,1,0,0,0,0,1,0,0,0,1,
"In general, the Foundation Level syllabus is examinable at a K1 level, i.e., the candidate will recognize, ",remember and recall terms and concepts stated in the Foundation Level syllabus. ,1.0,0.0,0.0,1,0,1,0,1,0,0,0,0,1,
remember and recall terms and concepts stated in the Foundation Level syllabus. ,"In addition, all Foundation Level syllabus learning objectives are examinable at the same K- level in an ",28.24,0.0,0.0,1,1,0,0,0,1,0,0,0,1,
"In addition, all Foundation Level syllabus learning objectives are examinable at the same K- level in an ",extension exam. ,0.98,0.0,0.0,1,0,1,0,1,0,0,0,0,1,
extension exam. ,"Version 2014  Page 7 of 12  May 31, 2014 ",58.47,5.64,0.0,0,1,0,0,0,1,0,0,0,1,
"Version 2014  Page 7 of 12  May 31, 2014 ",© International Software Testing Qualifications Board ,16.27,0.0,-3.96,0,0,0,0,1,0,0,0,0,1,
Overview  International ,Software Testing ,-0.61,363.53,-2.04,1,0,0,0,1,0,0,0,0,1,
Software Testing ,Foundation Level Extension – Agile Tester  Qualifications Board ,-0.36,-363.53,0.0,1,0,0,0,0,1,0,0,0,1,
Foundation Level Extension – Agile Tester  Qualifications Board ,"That said, each extension level exam focuses on the learning objectives defined in that extension ",4.6,-3.48,0.0,1,0,0,1,1,1,0,0,0,1,
"That said, each extension level exam focuses on the learning objectives defined in that extension ","syllabus. The relevant learning objectives at K1, K2, and K3 levels are provided at the beginning of each ",0.05,-0.0,0.0,1,0,1,1,1,1,0,0,0,1,
"syllabus. The relevant learning objectives at K1, K2, and K3 levels are provided at the beginning of each ",chapter within each particular extension syllabus. ,0.05,0.0,0.0,1,0,1,0,1,0,0,0,0,1,
chapter within each particular extension syllabus. ,2.4 Entry Requirements ,1.79,0.0,4.08,1,1,0,1,0,0,0,0,0,1,
2.4 Entry Requirements ,"To be able to participate in a Foundation Level Extension – Agile Tester exam, candidates must have ",1.0,0.0,-4.08,1,0,0,0,0,1,0,0,0,1,
"To be able to participate in a Foundation Level Extension – Agile Tester exam, candidates must have ",obtained the ISTQB Foundation Level certificate. ,0.05,0.0,0.0,1,0,1,0,1,0,0,0,0,1,
obtained the ISTQB Foundation Level certificate. ,2.5 Structure and Course Duration ,1.79,0.0,4.08,1,1,0,1,0,0,0,0,0,1,
2.5 Structure and Course Duration ,The Foundation Level Extension – Agile Tester syllabus has no shared or common elements with the ,1.0,0.0,-4.08,1,0,0,0,0,1,0,0,0,1,
The Foundation Level Extension – Agile Tester syllabus has no shared or common elements with the ,Foundation Level syllabus. ,0.05,0.0,0.0,1,0,0,0,1,0,0,0,0,1,
Foundation Level syllabus. ,The syllabi must be taught in the following minimum number of days: ,1.51,0.0,0.0,1,1,0,1,0,0,0,0,0,1,
The syllabi must be taught in the following minimum number of days: ,Syllabus  Days ,1.95,141.27,0.0,0,0,0,0,0,1,0,0,0,1,
Syllabus  Days ,Baseline: Foundation  3 ,0.89,0.0,0.0,0,0,0,1,1,1,0,1,0,0,
Baseline: Foundation  3 ,Extension: Agile Tester  2 ,0.88,0.0,0.0,1,0,0,1,1,1,1,1,1,0,
Extension: Agile Tester  2 ,The following figure shows the structure of the Agile Tester Extension and its relationship to the ,2.35,-141.27,0.0,1,0,0,1,1,1,1,0,0,0,
The following figure shows the structure of the Agile Tester Extension and its relationship to the ,Foundation Level. ,0.05,0.0,0.0,1,0,0,0,1,0,0,0,0,1,
Foundation Level. ,"Version 2014  Page 8 of 12  May 31, 2014 ",41.97,5.64,0.0,0,1,0,0,0,1,0,0,0,1,
"Version 2014  Page 8 of 12  May 31, 2014 ",© International Software Testing Qualifications Board ,0.87,0.0,-3.96,0,0,0,0,1,0,0,0,0,1,
Overview  International ,Software Testing ,-0.71,363.53,-2.04,1,0,0,0,1,0,0,0,0,1,
Software Testing ,Foundation Level Extension – Agile Tester  Qualifications Board ,-0.42,-363.53,0.0,1,0,0,0,0,1,0,0,0,1,
Foundation Level Extension – Agile Tester  Qualifications Board ,2.6 Keeping It Current ,9.01,-3.48,4.08,1,0,0,0,1,0,0,0,0,1,
2.6 Keeping It Current ,The software industry changes rapidly. To deal with these changes and to provide the stakeholders with ,1.15,0.0,-4.08,1,0,0,0,0,1,0,0,0,1,
The software industry changes rapidly. To deal with these changes and to provide the stakeholders with ,"access to relevant and current information, the ISTQB working groups have created links on the ",0.06,0.0,0.0,1,0,1,1,1,1,0,0,0,1,
