text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
Active Learning - Understanding the implications of new information for both current and future problem-solving,Active Learning - Understanding the implications of new information for both current and future problem-solving,and decision-making.,and decision-making.,-0.04,0.0,1,0,0,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
and decision-making.,and decision-making.,"Critical Thinking - Using logic and reasoning to identify the strengths and weaknesses of alternative solutions,","Critical Thinking - Using logic and reasoning to identify the strengths and weaknesses of alternative solutions,",1.0,0.0,1,0,0,9.0,9.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
"Critical Thinking - Using logic and reasoning to identify the strengths and weaknesses of alternative solutions,","Critical Thinking - Using logic and reasoning to identify the strengths and weaknesses of alternative solutions,",conclusions or approaches to problems.,conclusions or approaches to problems.,-0.04,0.0,1,0,0,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
conclusions or approaches to problems.,conclusions or approaches to problems.,Knowledge,Knowledge,1.12,197.09,0,0,1,9.0,12.0,3.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
Knowledge,Knowledge,"Telecommunications - Knowledge of transmission, broadcasting, switching, control, and operation of","Telecommunications - Knowledge of transmission, broadcasting, switching, control, and operation of",1.3,-197.09,0,1,0,12.0,9.0,-3.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0
"Telecommunications - Knowledge of transmission, broadcasting, switching, control, and operation of","Telecommunications - Knowledge of transmission, broadcasting, switching, control, and operation of",telecommunications systems.,telecommunications systems.,-0.04,0.0,1,0,0,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
telecommunications systems.,telecommunications systems.,"Communications and Media - Knowledge of media production, communication, and dissemination techniques","Communications and Media - Knowledge of media production, communication, and dissemination techniques",1.0,0.0,1,0,0,9.0,9.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
"Communications and Media - Knowledge of media production, communication, and dissemination techniques","Communications and Media - Knowledge of media production, communication, and dissemination techniques","and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.","and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.",-0.04,0.0,1,0,1,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.","and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.","Computers and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, and","Computers and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, and",1.0,0.0,1,1,0,9.0,9.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
"Computers and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, and","Computers and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, and","computer hardware and software, including applications and programming.","computer hardware and software, including applications and programming.",-0.04,0.0,1,0,0,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"computer hardware and software, including applications and programming.","computer hardware and software, including applications and programming.",English Language - Knowledge of the structure and content of the English language including the meaning and,English Language - Knowledge of the structure and content of the English language including the meaning and,1.0,0.0,1,0,0,9.0,9.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
English Language - Knowledge of the structure and content of the English language including the meaning and,English Language - Knowledge of the structure and content of the English language including the meaning and,"spelling of words, rules of composition, and grammar.","spelling of words, rules of composition, and grammar.",-0.04,0.0,1,0,0,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"spelling of words, rules of composition, and grammar.","spelling of words, rules of composition, and grammar.",Engineering and Technology - Knowledge of the practical application of engineering science and technology.,Engineering and Technology - Knowledge of the practical application of engineering science and technology.,1.0,0.0,1,0,0,9.0,9.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
Engineering and Technology - Knowledge of the practical application of engineering science and technology.,Engineering and Technology - Knowledge of the practical application of engineering science and technology.,"This includes applying principles, techniques, procedures, and equipment to the design and production of various","This includes applying principles, techniques, procedures, and equipment to the design and production of various",-0.04,0.0,1,0,1,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,1
"This includes applying principles, techniques, procedures, and equipment to the design and production of various","This includes applying principles, techniques, procedures, and equipment to the design and production of various",goods and services.,goods and services.,-0.03,0.0,1,1,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
goods and services.,goods and services.,"Education and Training - Knowledge of principles and methods for curriculum and training design, teaching and","Education and Training - Knowledge of principles and methods for curriculum and training design, teaching and",1.0,0.0,1,0,0,9.0,9.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
"Education and Training - Knowledge of principles and methods for curriculum and training design, teaching and","Education and Training - Knowledge of principles and methods for curriculum and training design, teaching and","instruction for individuals and groups, and the measurement of training effects.","instruction for individuals and groups, and the measurement of training effects.",-0.04,0.0,1,0,0,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"instruction for individuals and groups, and the measurement of training effects.","instruction for individuals and groups, and the measurement of training effects.","Mechanical - Knowledge of machines and tools, including their designs, uses, repair, and maintenance.","Mechanical - Knowledge of machines and tools, including their designs, uses, repair, and maintenance.",1.0,0.0,1,0,0,9.0,9.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
"Mechanical - Knowledge of machines and tools, including their designs, uses, repair, and maintenance.","Mechanical - Knowledge of machines and tools, including their designs, uses, repair, and maintenance.",Education,Education,1.12,200.09,0,0,1,9.0,12.0,3.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
Education,Education,Job Zone Three: Medium Preparation Needed,Job Zone Three: Medium Preparation Needed,1.3,-200.09,0,1,0,12.0,9.0,-3.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0
Job Zone Three: Medium Preparation Needed,Job Zone Three: Medium Preparation Needed,"Education: Most occupations in this zone require training in vocational schools, related on-the-job experience, or","Education:Most occupations in this zone require training in vocational schools, related on-the-job experience, or",0.7,0.0,1,0,0,9.0,9.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0
"Education: Most occupations in this zone require training in vocational schools, related on-the-job experience, or","Education:Most occupations in this zone require training in vocational schools, related on-the-job experience, or",an associate's degree. Some may require a bachelor's degree.,an associate's degree. Some may require a bachelor's degree.,-0.04,0.0,1,0,0,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
an associate's degree. Some may require a bachelor's degree.,an associate's degree. Some may require a bachelor's degree.,Training : Employees in these occupations usually need one or two years of training involving both on-the-job,Training: Employees in these occupations usually need one or two years of training involving both on-the-job,0.71,0.0,1,0,0,9.0,9.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
Training : Employees in these occupations usually need one or two years of training involving both on-the-job,Training: Employees in these occupations usually need one or two years of training involving both on-the-job,experience and informal training with experienced workers.,experience and informal training with experienced workers.,-0.04,0.0,1,0,0,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
experience and informal training with experienced workers.,experience and informal training with experienced workers.,School Programs,School Programs,1.12,180.76,0,0,1,9.0,12.0,3.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
School Programs,School Programs,Communications Technology/Technician. - A program that generally prepares individuals to function as,Communications Technology/Technician. - A program that generally prepares individuals to function as,1.3,-180.76,0,1,0,12.0,9.0,-3.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0
Communications Technology/Technician. - A program that generally prepares individuals to function as,Communications Technology/Technician. - A program that generally prepares individuals to function as,workers and managers within communications industries. Includes instruction in business economics; basic,workers and managers within communications industries. Includes instruction in business economics; basic,-0.04,0.0,1,0,1,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
workers and managers within communications industries. Includes instruction in business economics; basic,workers and managers within communications industries. Includes instruction in business economics; basic,"management; principles of interpersonal and mediated communications; radio, television, and digital media","management; principles of interpersonal and mediated communications; radio, television, and digital media",-0.03,0.0,1,1,1,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"management; principles of interpersonal and mediated communications; radio, television, and digital media","management; principles of interpersonal and mediated communications; radio, television, and digital media",production; and related aspects of technology and communications systems.,production; and related aspects of technology and communications systems.,-0.03,0.0,1,1,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
production; and related aspects of technology and communications systems.,production; and related aspects of technology and communications systems.,Radio and Television Broadcasting Technology/Technician. - A program that prepares individuals to apply,Radio and Television Broadcasting Technology/Technician. - A program that prepares individuals to apply,1.0,0.0,1,0,0,9.0,9.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
Radio and Television Broadcasting Technology/Technician. - A program that prepares individuals to apply,Radio and Television Broadcasting Technology/Technician. - A program that prepares individuals to apply,"technical knowledge and skills to the production of radio and television programs, and related operations, under","technical knowledge and skills to the production of radio and television programs, and related operations, under",-0.04,0.0,1,0,1,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"technical knowledge and skills to the production of radio and television programs, and related operations, under","technical knowledge and skills to the production of radio and television programs, and related operations, under","the supervision of broadcast and studio managers, directors, editors, and producers. Includes instruction in","the supervision of broadcast and studio managers, directors, editors, and producers. Includes instruction in",-0.03,0.0,1,1,1,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"the supervision of broadcast and studio managers, directors, editors, and producers. Includes instruction in","the supervision of broadcast and studio managers, directors, editors, and producers. Includes instruction in","sound, lighting, and camera operation and maintenance; power and feed control; studio operations; production","sound, lighting, and camera operation and maintenance; power and feed control; studio operations; production",-0.03,0.0,1,1,1,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"sound, lighting, and camera operation and maintenance; power and feed control; studio operations; production","sound, lighting, and camera operation and maintenance; power and feed control; studio operations; production","preparation; broadcast engineering; related computer applications; and specialized applications such as news,","preparation; broadcast engineering; related computer applications; and specialized applications such as news,",-0.03,0.0,1,1,1,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"preparation; broadcast engineering; related computer applications; and specialized applications such as news,","preparation; broadcast engineering; related computer applications; and specialized applications such as news,","entertainment, live talk, sports, commercials, and taping.","entertainment, live talk, sports, commercials, and taping.",-0.03,0.0,1,1,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"Audiovisual Communications Technologies/Technicians, Other. - Any instructional program in audiovisual","Audiovisual Communications Technologies/Technicians, Other. - Any instructional program in audiovisual",communications technologies not listed above.,communications technologies not listed above.,-0.04,0.0,1,0,0,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,3,3,1
communications technologies not listed above.,communications technologies not listed above.,Wages,Wages,1.12,208.1,0,0,1,9.0,12.0,3.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,3,3,0
Wages,Wages,In NY the average wage for this occupation was:,In NY the average wage for this occupation was:,1.3,-208.1,0,1,0,12.0,9.0,-3.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,3,3,0
In NY the average wage for this occupation was:,In NY the average wage for this occupation was:,"$33,030 for entry level workers, and $65,350 for experienced workers.","$33,030 for entry level workers, and $65,350 for experienced workers.",0.7,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,3,3,0
"$33,030 for entry level workers, and $65,350 for experienced workers.","$33,030 for entry level workers, and $65,350 for experienced workers.",Job Outlook,Job Outlook,0.83,194.76,0,0,1,9.0,12.0,3.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,3,3,0
Job Outlook,Job Outlook,"Based on the total number of annual openings and its growth rate, the employment prospects for this occupation","Based on the total number of annual openings and its growth rate, the employment prospects for this occupation",1.3,-194.76,0,1,1,12.0,9.0,-3.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,3,3,0
"Based on the total number of annual openings and its growth rate, the employment prospects for this occupation","Based on the total number of annual openings and its growth rate, the employment prospects for this occupation",are described as Favorable.,are described as Favorable.,-0.03,0.0,1,1,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,3,3,1
are described as Favorable.,are described as Favorable.,"In 2006, employment for Broadcast Technicians in NY was: 3,630.","In 2006, employment for Broadcast Technicians in NY was: 3,630.",0.7,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,3,3,0
"In 2006, employment for Broadcast Technicians in NY was: 3,630.","In 2006, employment for Broadcast Technicians in NY was: 3,630.","It is anticipated that in the year 2016, employment in this area will number 3,930. There will be an increase of 30","It is anticipated that in the year 2016, employment in this area will number 3,930. There will be an increase of 30",0.7,0.0,1,0,1,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,3,3,0
"It is anticipated that in the year 2016, employment in this area will number 3,930. There will be an increase of 30","It is anticipated that in the year 2016, employment in this area will number 3,930. There will be an increase of 30","new positions annually 0.01%. In addition, 120 jobs per year 0.03% will become available due to employee","new positions annually (0.01%). In addition, 120 jobs per year (0.03%) will become available due to employee",-0.03,0.0,1,1,1,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,3,3,1
