text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
"o Add diced tomatoes, lentils, chickpeas, vegetable broth, cumin, coriander,","o Add diced tomatoes, lentils, chickpeas, vegetable broth, cumin, coriander,","turmeric, and salt.","turmeric, and salt.",0.87,18.0,0,0,0,10.02,12.0,1.98,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1
"turmeric, and salt.","turmeric, and salt.",o Simmer for 30 minutes until lentils are tender.,o Simmer for 30 minutes until lentils are tender.,0.75,-18.0,0,0,0,12.0,10.02,-1.98,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1
o Simmer for 30 minutes until lentils are tender.,o Simmer for 30 minutes until lentils are tender.,o Stir in chopped cilantro and serve warm.,o Stir in chopped cilantro and serve warm.,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1
o Stir in chopped cilantro and serve warm.,o Stir in chopped cilantro and serve warm.,Horta,Horta,4.17,-54.02,0,0,0,10.02,12.0,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0
Horta,Horta,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12.0,12.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
Ingredients :,Ingredients:,o 1 pound dandelion greens,o 1 pound dandelion greens,0.75,18.0,0,0,0,12.0,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0
o 1 pound dandelion greens,o 1 pound dandelion greens,o 1/4 cup olive oil,o 1/4 cup olive oil,1.01,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
o 1/4 cup olive oil,o 1/4 cup olive oil,o 1/4 cup lemon juice,o 1/4 cup lemon juice,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
o 1/4 cup lemon juice,o 1/4 cup lemon juice,o 1 teaspoon salt,o 1 teaspoon salt,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
o 1 teaspoon salt,o 1 teaspoon salt,Instructions :,Instructions:,0.85,-18.0,0,0,0,10.02,12.0,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0
Instructions :,Instructions:,"o Boil dandelion greens until tender, then drain.","o Boil dandelion greens until tender, then drain.",0.75,18.0,0,0,0,12.0,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0
"o Boil dandelion greens until tender, then drain.","o Boil dandelion greens until tender, then drain.","o Toss greens with olive oil, lemon juice, and salt.","o Toss greens with olive oil, lemon juice, and salt.",1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1
"o Toss greens with olive oil, lemon juice, and salt.","o Toss greens with olive oil, lemon juice, and salt.",o Serve warm or chilled.,o Serve warm or chilled.,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1
o Serve warm or chilled.,o Serve warm or chilled.,Hot and Sour Soup,Hot and Sour Soup,4.19,-54.02,0,0,0,10.02,12.0,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0
Hot and Sour Soup,Hot and Sour Soup,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12.0,12.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
Ingredients :,Ingredients:,o 4 cups chicken broth,o 4 cups chicken broth,0.75,18.0,0,0,0,12.0,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0
o 4 cups chicken broth,o 4 cups chicken broth,o 1/2 cup sliced mushrooms,o 1/2 cup sliced mushrooms,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
o 1/2 cup sliced mushrooms,o 1/2 cup sliced mushrooms,o 1/4 cup bamboo shoots,o 1/4 cup bamboo shoots,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
o 1/4 cup bamboo shoots,o 1/4 cup bamboo shoots,o 1/4 cup tofu,o 1/4 cup tofu,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
o 1/4 cup tofu,o 1/4 cup tofu,o 2 tablespoons soy sauce,o 2 tablespoons soy sauce,1.01,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
o 2 tablespoons soy sauce,o 2 tablespoons soy sauce,o 2 tablespoons rice vinegar,o 2 tablespoons rice vinegar,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
o 2 tablespoons rice vinegar,o 2 tablespoons rice vinegar,o 1 tablespoon cornstarch,o 1 tablespoon cornstarch,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
o 1 tablespoon cornstarch,o 1 tablespoon cornstarch,o 1 teaspoon chili paste,o 1 teaspoon chili paste,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
o 1 teaspoon chili paste,o 1 teaspoon chili paste,o 1 egg,o 1 egg,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
o 1 egg,o 1 egg,o 1/4 cup chopped green onions,o 1/4 cup chopped green onions,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
o 1/4 cup chopped green onions,o 1/4 cup chopped green onions,Instructions :,Instructions:,0.85,-18.0,0,0,0,10.02,12.0,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0
Instructions :,Instructions:,o Bring chicken broth to a boil.,o Bring chicken broth to a boil.,0.75,18.0,0,0,0,12.0,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0
o Bring chicken broth to a boil.,o Bring chicken broth to a boil.,"o Add mushrooms, bamboo shoots, tofu, soy sauce, rice vinegar, and chili paste.","o Add mushrooms, bamboo shoots, tofu, soy sauce, rice vinegar, and chili paste.",1.01,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1
"o Add mushrooms, bamboo shoots, tofu, soy sauce, rice vinegar, and chili paste.","o Add mushrooms, bamboo shoots, tofu, soy sauce, rice vinegar, and chili paste.","o Mix cornstarch with water and add to the soup, stirring until thickened.","o Mix cornstarch with water and add to the soup, stirring until thickened.",1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1
"o Mix cornstarch with water and add to the soup, stirring until thickened.","o Mix cornstarch with water and add to the soup, stirring until thickened.","o Beat egg and slowly pour into the soup, stirring constantly.","o Beat egg and slowly pour into the soup, stirring constantly.",1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1
"o Beat egg and slowly pour into the soup, stirring constantly.","o Beat egg and slowly pour into the soup, stirring constantly.",o Garnish with chopped green onions and serve.,o Garnish with chopped green onions and serve.,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1
Hummus,Hummus,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12.0,12.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0
Ingredients :,Ingredients:,o 1 can chickpeas,o 1 can chickpeas,0.75,18.0,0,0,0,12.0,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,2,2,0
o 1 can chickpeas,o 1 can chickpeas,o 1/4 cup tahini,o 1/4 cup tahini,1.02,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1/4 cup tahini,o 1/4 cup tahini,o 1/4 cup lemon juice,o 1/4 cup lemon juice,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1/4 cup lemon juice,o 1/4 cup lemon juice,o 2 cloves garlic,o 2 cloves garlic,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 2 cloves garlic,o 2 cloves garlic,o 1/4 cup olive oil,o 1/4 cup olive oil,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1/4 cup olive oil,o 1/4 cup olive oil,o 1 teaspoon salt,o 1 teaspoon salt,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1 teaspoon salt,o 1 teaspoon salt,Instructions :,Instructions:,0.85,-18.0,0,0,0,10.02,12.0,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,2,0
Instructions :,Instructions:,o Drain and rinse chickpeas.,o Drain and rinse chickpeas.,0.75,18.0,0,0,0,12.0,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,2,2,0
o Drain and rinse chickpeas.,o Drain and rinse chickpeas.,"o Blend chickpeas, tahini, lemon juice, minced garlic, and salt in a food processor.","o Blend chickpeas, tahini, lemon juice, minced garlic, and salt in a food processor.",1.01,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2,2,1
"o Blend chickpeas, tahini, lemon juice, minced garlic, and salt in a food processor.","o Blend chickpeas, tahini, lemon juice, minced garlic, and salt in a food processor.",o Slowly add olive oil while blending until smooth.,o Slowly add olive oil while blending until smooth.,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2,2,1
o Slowly add olive oil while blending until smooth.,o Slowly add olive oil while blending until smooth.,o Serve with a drizzle of olive oil.,o Serve with a drizzle of olive oil.,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2,2,1
o Serve with a drizzle of olive oil.,o Serve with a drizzle of olive oil.,Japchae,Japchae,4.17,-54.02,0,0,0,10.02,12.0,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,2,0
Japchae,Japchae,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12.0,12.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0
Ingredients :,Ingredients:,o 8 ounces sweet potato noodles,o 8 ounces sweet potato noodles,0.75,18.0,0,0,0,12.0,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,2,2,0
o 8 ounces sweet potato noodles,o 8 ounces sweet potato noodles,o 1/2 pound beef,o 1/2 pound beef,1.01,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1/2 pound beef,o 1/2 pound beef,o 1 small onion,o 1 small onion,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1 small onion,o 1 small onion,o 1 carrot,o 1 carrot,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1 carrot,o 1 carrot,o 1 bell pepper,o 1 bell pepper,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1 bell pepper,o 1 bell pepper,o 1 cup spinach,o 1 cup spinach,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1 cup spinach,o 1 cup spinach,o 2 tablespoons soy sauce,o 2 tablespoons soy sauce,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 2 tablespoons soy sauce,o 2 tablespoons soy sauce,o 1 tablespoon sesame oil,o 1 tablespoon sesame oil,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1 tablespoon sesame oil,o 1 tablespoon sesame oil,o 1 tablespoon sugar,o 1 tablespoon sugar,1.01,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1 tablespoon sugar,o 1 tablespoon sugar,o 1 tablespoon sesame seeds,o 1 tablespoon sesame seeds,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1 tablespoon sesame seeds,o 1 tablespoon sesame seeds,Instructions :,Instructions:,0.85,-18.0,0,0,0,10.02,12.0,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,2,0
Instructions :,Instructions:,"o Cook noodles according to package instructions, then drain.","o Cook noodles according to package instructions, then drain.",0.75,18.0,0,0,0,12.0,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,2,2,0
"o Cook noodles according to package instructions, then drain.","o Cook noodles according to package instructions, then drain.","o Sauté sliced beef, diced onion, julienned carrot, and bell pepper in sesame oil","o Sauté sliced beef, diced onion, julienned carrot, and bell pepper in sesame oil",1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2,2,1
"o Sauté sliced beef, diced onion, julienned carrot, and bell pepper in sesame oil","o Sauté sliced beef, diced onion, julienned carrot, and bell pepper in sesame oil",until cooked.,until cooked.,0.85,18.0,0,0,0,10.02,12.0,1.98,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,2,2,1
until cooked.,until cooked.,o Add spinach and cook until wilted.,o Add spinach and cook until wilted.,0.75,-18.0,0,0,0,12.0,10.02,-1.98,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,2,2,1
o Add spinach and cook until wilted.,o Add spinach and cook until wilted.,"o Mix noodles with soy sauce, sugar, and sesame seeds.","o Mix noodles with soy sauce, sugar, and sesame seeds.",1.01,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2,2,1
"o Mix noodles with soy sauce, sugar, and sesame seeds.","o Mix noodles with soy sauce, sugar, and sesame seeds.",o Combine with cooked beef and vegetables.,o Combine with cooked beef and vegetables.,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2,2,1
o Combine with cooked beef and vegetables.,o Combine with cooked beef and vegetables.,o Serve warm.,o Serve warm.,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2,2,1
o Serve warm.,o Serve warm.,Jerk Vegetables,Jerk Vegetables,4.17,-54.02,0,0,0,10.02,12.0,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,2,0
Jerk Vegetables,Jerk Vegetables,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12.0,12.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0
Ingredients :,Ingredients:,o 1 cup broccoli,o 1 cup broccoli,0.75,18.0,0,0,0,12.0,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,2,2,0
o 1 cup broccoli,o 1 cup broccoli,o 1 cup bell peppers,o 1 cup bell peppers,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1 cup bell peppers,o 1 cup bell peppers,o 1 cup zucchini,o 1 cup zucchini,1.01,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1 cup zucchini,o 1 cup zucchini,o 1 small onion,o 1 small onion,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1 small onion,o 1 small onion,o 2 cloves garlic,o 2 cloves garlic,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 2 cloves garlic,o 2 cloves garlic,o 2 tablespoons jerk seasoning,o 2 tablespoons jerk seasoning,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1/4 cup olive oil,o 1/4 cup olive oil,Instructions :,Instructions:,0.85,-18.0,0,0,0,10.02,12.0,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,3,0
Instructions :,Instructions:,"o Toss vegetables with minced garlic, jerk seasoning, and olive oil.","o Toss vegetables with minced garlic, jerk seasoning, and olive oil.",0.75,18.0,0,0,0,12.0,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,3,3,0
"o Toss vegetables with minced garlic, jerk seasoning, and olive oil.","o Toss vegetables with minced garlic, jerk seasoning, and olive oil.",o Roast at 400°F 200°C until tender.,o Roast at 400°F (200°C) until tender.,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,3,3,1
o Roast at 400°F 200°C until tender.,o Roast at 400°F (200°C) until tender.,o Serve warm.,o Serve warm.,1.02,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,3,3,1
o Serve warm.,o Serve warm.,Johnny Cakes,Johnny Cakes,4.17,-54.02,0,0,0,10.02,12.0,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,3,3,0
Johnny Cakes,Johnny Cakes,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12.0,12.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,3,3,0
Ingredients :,Ingredients:,o 2 cups flour,o 2 cups flour,0.75,18.0,0,0,0,12.0,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,3,3,0
o 2 cups flour,o 2 cups flour,o 1/4 cup sugar,o 1/4 cup sugar,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,3,3,1
o 1/4 cup sugar,o 1/4 cup sugar,o 1 tablespoon baking powder,o 1 tablespoon baking powder,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,3,3,1
o 1 tablespoon baking powder,o 1 tablespoon baking powder,o 1/2 teaspoon salt,o 1/2 teaspoon salt,1.01,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,3,3,1
o 1/2 teaspoon salt,o 1/2 teaspoon salt,o 1/4 cup butter,o 1/4 cup butter,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,3,3,1
o 1/4 cup butter,o 1/4 cup butter,o 1/2 cup milk,o 1/2 cup milk,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,3,3,1
o 1/2 cup milk,o 1/2 cup milk,o Oil for frying,o Oil for frying,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,3,3,1
o Oil for frying,o Oil for frying,Instructions :,Instructions:,0.85,-18.0,0,0,0,10.02,12.0,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,3,0
Instructions :,Instructions:,"o Mix flour, sugar, baking powder, and salt in a bowl.","o Mix flour, sugar, baking powder, and salt in a bowl.",0.75,18.0,0,0,0,12.0,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,3,3,0
"o Mix flour, sugar, baking powder, and salt in a bowl.","o Mix flour, sugar, baking powder, and salt in a bowl.",o Cut in cold butter until mixture resembles coarse crumbs.,o Cut in cold butter until mixture resembles coarse crumbs.,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,3,3,1
o Cut in cold butter until mixture resembles coarse crumbs.,o Cut in cold butter until mixture resembles coarse crumbs.,o Add milk and stir until dough forms.,o Add milk and stir until dough forms.,1.01,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,3,3,1
o Add milk and stir until dough forms.,o Add milk and stir until dough forms.,o Roll out dough and cut into circles.,o Roll out dough and cut into circles.,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,3,3,1
o Roll out dough and cut into circles.,o Roll out dough and cut into circles.,o Fry in hot oil until golden.,o Fry in hot oil until golden.,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,3,3,1
o Fry in hot oil until golden.,o Fry in hot oil until golden.,o Drain on paper towels and serve warm.,o Drain on paper towels and serve warm.,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,3,3,1
o Drain on paper towels and serve warm.,o Drain on paper towels and serve warm.,Jollof Rice,Jollof Rice,4.18,-54.02,0,0,0,10.02,12.0,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,3,3,0
Jollof Rice,Jollof Rice,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12.0,12.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,3,3,0
Ingredients :,Ingredients:,o 2 cups rice,o 2 cups rice,0.76,18.0,0,0,0,12.0,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,3,3,0
o 2 cups rice,o 2 cups rice,o 1 small onion,o 1 small onion,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,3,3,1
o 1 small onion,o 1 small onion,o 2 cloves garlic,o 2 cloves garlic,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,3,3,1
