text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,label
Instructions :,Instructions:,"o Mix flour, water, and beaten egg in a bowl.","o Mix flour, water, and beaten egg in a bowl.",0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
"o Mix flour, water, and beaten egg in a bowl.","o Mix flour, water, and beaten egg in a bowl.",o Add chopped green onions and seafood if using.,o Add chopped green onions and seafood (if using).,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Add chopped green onions and seafood if using.,o Add chopped green onions and seafood (if using).,o Heat sesame oil in a pan and pour in batter.,o Heat sesame oil in a pan and pour in batter.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Heat sesame oil in a pan and pour in batter.,o Heat sesame oil in a pan and pour in batter.,o Cook until golden on both sides.,o Cook until golden on both sides.,1.01,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Cook until golden on both sides.,o Cook until golden on both sides.,o Serve with soy sauce for dipping.,o Serve with soy sauce for dipping.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Serve with soy sauce for dipping.,o Serve with soy sauce for dipping.,Pan con Tomate,Pan con Tomate,4.17,-54.02,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Pan con Tomate,Pan con Tomate,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients :,Ingredients:,o 1 baguette,o 1 baguette,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o 1 baguette,o 1 baguette,o 4 tomatoes,o 4 tomatoes,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 4 tomatoes,o 4 tomatoes,o 2 cloves garlic,o 2 cloves garlic,1.01,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 2 cloves garlic,o 2 cloves garlic,o 1/4 cup olive oil,o 1/4 cup olive oil,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/4 cup olive oil,o 1/4 cup olive oil,o 1 teaspoon salt,o 1 teaspoon salt,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon salt,o 1 teaspoon salt,Instructions :,Instructions:,0.85,-18,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Instructions :,Instructions:,o Slice baguette and toast until golden.,o Slice baguette and toast until golden.,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o Slice baguette and toast until golden.,o Slice baguette and toast until golden.,o Rub toasted bread with cut garlic cloves.,o Rub toasted bread with cut garlic cloves.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Rub toasted bread with cut garlic cloves.,o Rub toasted bread with cut garlic cloves.,o Grate tomatoes and spread on bread.,o Grate tomatoes and spread on bread.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Grate tomatoes and spread on bread.,o Grate tomatoes and spread on bread.,o Drizzle with olive oil and sprinkle with salt.,o Drizzle with olive oil and sprinkle with salt.,1.01,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Drizzle with olive oil and sprinkle with salt.,o Drizzle with olive oil and sprinkle with salt.,o Serve immediately.,o Serve immediately.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Serve immediately.,o Serve immediately.,Paneer Tikka,Paneer Tikka,4.17,-54.02,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Paneer Tikka,Paneer Tikka,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients :,Ingredients:,o 1 pound paneer,o 1 pound paneer,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o 1 pound paneer,o 1 pound paneer,o 1/2 cup yogurt,o 1/2 cup yogurt,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/2 cup yogurt,o 1/2 cup yogurt,o 1 tablespoon lemon juice,o 1 tablespoon lemon juice,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 tablespoon lemon juice,o 1 tablespoon lemon juice,o 1 teaspoon cumin,o 1 teaspoon cumin,1.01,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon cumin,o 1 teaspoon cumin,o 1 teaspoon coriander,o 1 teaspoon coriander,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon coriander,o 1 teaspoon coriander,o 1 teaspoon garam masala,o 1 teaspoon garam masala,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon garam masala,o 1 teaspoon garam masala,o 1 teaspoon turmeric,o 1 teaspoon turmeric,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon salt,o 1 teaspoon salt,o Skewers,o Skewers,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o Skewers,o Skewers,Instructions :,Instructions:,0.85,-18,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Instructions :,Instructions:,o Cut paneer into cubes.,o Cut paneer into cubes.,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o Cut paneer into cubes.,o Cut paneer into cubes.,"o Mix yogurt, lemon juice, cumin, coriander, garam masala, turmeric, and salt in a","o Mix yogurt, lemon juice, cumin, coriander, garam masala, turmeric, and salt in a",1.02,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Mix yogurt, lemon juice, cumin, coriander, garam masala, turmeric, and salt in a","o Mix yogurt, lemon juice, cumin, coriander, garam masala, turmeric, and salt in a",bowl.,bowl.,0.85,18,0,0,0,10.02,12,1.98,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1
bowl.,bowl.,o Add paneer cubes and marinate for at least 1 hour.,o Add paneer cubes and marinate for at least 1 hour.,0.75,-18,0,0,0,12,10.02,-1.98,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1
o Add paneer cubes and marinate for at least 1 hour.,o Add paneer cubes and marinate for at least 1 hour.,o Thread paneer onto skewers.,o Thread paneer onto skewers.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Thread paneer onto skewers.,o Thread paneer onto skewers.,"o Grill or broil until golden, turning occasionally.","o Grill or broil until golden, turning occasionally.",1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Grill or broil until golden, turning occasionally.","o Grill or broil until golden, turning occasionally.",o Serve warm.,o Serve warm.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Serve warm.,o Serve warm.,Panzanella,Panzanella,4.19,-54.02,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Panzanella,Panzanella,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients :,Ingredients:,o 4 cups cubed bread,o 4 cups cubed bread,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o 4 cups cubed bread,o 4 cups cubed bread,o 4 tomatoes,o 4 tomatoes,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 4 tomatoes,o 4 tomatoes,o 1 cucumber,o 1 cucumber,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 cucumber,o 1 cucumber,o 1 small red onion,o 1 small red onion,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 small red onion,o 1 small red onion,o 1/4 cup basil,o 1/4 cup basil,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/4 cup basil,o 1/4 cup basil,o 1/4 cup olive oil,o 1/4 cup olive oil,1.01,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/4 cup olive oil,o 1/4 cup olive oil,o 2 tablespoons red wine vinegar,o 2 tablespoons red wine vinegar,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 2 tablespoons red wine vinegar,o 2 tablespoons red wine vinegar,o 1 teaspoon salt,o 1 teaspoon salt,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon salt,o 1 teaspoon salt,Instructions :,Instructions:,0.85,-18,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Instructions :,Instructions:,o Toast bread cubes until golden.,o Toast bread cubes until golden.,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o Toast bread cubes until golden.,o Toast bread cubes until golden.,"o Dice tomatoes and cucumber, slice red onion.","o Dice tomatoes and cucumber, slice red onion.",1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Dice tomatoes and cucumber, slice red onion.","o Dice tomatoes and cucumber, slice red onion.","o Mix bread, tomatoes, cucumber, onion, and chopped basil.","o Mix bread, tomatoes, cucumber, onion, and chopped basil.",1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Mix bread, tomatoes, cucumber, onion, and chopped basil.","o Mix bread, tomatoes, cucumber, onion, and chopped basil.","o Whisk olive oil, vinegar, and salt, then pour over salad.","o Whisk olive oil, vinegar, and salt, then pour over salad.",1.01,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Whisk olive oil, vinegar, and salt, then pour over salad.","o Whisk olive oil, vinegar, and salt, then pour over salad.",o Toss well and serve.,o Toss well and serve.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Toss well and serve.,o Toss well and serve.,Papadum,Papadum,4.17,-54.02,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Papadum,Papadum,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients :,Ingredients:,o 1 cup urad dal flour,o 1 cup urad dal flour,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o 1 cup urad dal flour,o 1 cup urad dal flour,o 1/4 cup water,o 1/4 cup water,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/4 cup water,o 1/4 cup water,o 1/2 teaspoon salt,o 1/2 teaspoon salt,1.01,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/2 teaspoon salt,o 1/2 teaspoon salt,o Oil for frying,o Oil for frying,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o Oil for frying,o Oil for frying,Instructions :,Instructions:,0.85,-18,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Instructions :,Instructions:,"o Mix urad dal flour, water, and salt to form a dough.","o Mix urad dal flour, water, and salt to form a dough.",0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
"o Mix urad dal flour, water, and salt to form a dough.","o Mix urad dal flour, water, and salt to form a dough.",o Roll dough into thin circles.,o Roll dough into thin circles.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Roll dough into thin circles.,o Roll dough into thin circles.,o Fry in hot oil until crispy.,o Fry in hot oil until crispy.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Fry in hot oil until crispy.,o Fry in hot oil until crispy.,o Drain on paper towels and serve.,o Drain on paper towels and serve.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Drain on paper towels and serve.,o Drain on paper towels and serve.,Patatas Bravas,Patatas Bravas,4.19,-54.02,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Patatas Bravas,Patatas Bravas,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients :,Ingredients:,o 4 potatoes,o 4 potatoes,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o 4 potatoes,o 4 potatoes,o 1/4 cup olive oil,o 1/4 cup olive oil,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/2 cup tomato sauce,o 1/2 cup tomato sauce,o 1 teaspoon paprika,o 1 teaspoon paprika,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon paprika,o 1 teaspoon paprika,o 1/2 teaspoon cayenne pepper,o 1/2 teaspoon cayenne pepper,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/2 teaspoon cayenne pepper,o 1/2 teaspoon cayenne pepper,o 1/2 teaspoon salt,o 1/2 teaspoon salt,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/2 teaspoon salt,o 1/2 teaspoon salt,o 1/4 cup mayonnaise,o 1/4 cup mayonnaise,1.02,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/4 cup mayonnaise,o 1/4 cup mayonnaise,Instructions :,Instructions:,0.85,-18,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Instructions :,Instructions:,o Peel and dice potatoes.,o Peel and dice potatoes.,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o Peel and dice potatoes.,o Peel and dice potatoes.,"o Toss potatoes with olive oil and salt, then roast at 400°F 200°C until crispy.","o Toss potatoes with olive oil and salt, then roast at 400°F (200°C) until crispy.",1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Toss potatoes with olive oil and salt, then roast at 400°F 200°C until crispy.","o Toss potatoes with olive oil and salt, then roast at 400°F (200°C) until crispy.","o Mix tomato sauce, paprika, and cayenne pepper in a bowl.","o Mix tomato sauce, paprika, and cayenne pepper in a bowl.",1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Mix tomato sauce, paprika, and cayenne pepper in a bowl.","o Mix tomato sauce, paprika, and cayenne pepper in a bowl.",o Serve potatoes with tomato sauce and a dollop of mayonnaise.,o Serve potatoes with tomato sauce and a dollop of mayonnaise.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Serve potatoes with tomato sauce and a dollop of mayonnaise.,o Serve potatoes with tomato sauce and a dollop of mayonnaise.,Pepper Pot,Pepper Pot,4.19,-54.02,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Pepper Pot,Pepper Pot,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients :,Ingredients:,o 1 pound beef,o 1 pound beef,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o 1 pound beef,o 1 pound beef,o 1 small onion,o 1 small onion,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 small onion,o 1 small onion,o 2 cloves garlic,o 2 cloves garlic,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 2 cloves garlic,o 2 cloves garlic,o 4 cups beef broth,o 4 cups beef broth,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 4 cups beef broth,o 4 cups beef broth,o 1 cup spinach,o 1 cup spinach,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 cup spinach,o 1 cup spinach,o 1 cup okra,o 1 cup okra,1.01,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 cup okra,o 1 cup okra,o 1 teaspoon thyme,o 1 teaspoon thyme,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon thyme,o 1 teaspoon thyme,o 1 teaspoon salt,o 1 teaspoon salt,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon salt,o 1 teaspoon salt,o 1/2 teaspoon pepper,o 1/2 teaspoon pepper,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/2 teaspoon pepper,o 1/2 teaspoon pepper,Instructions :,Instructions:,0.85,-18,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Instructions :,Instructions:,"o Sauté diced beef, onion, and minced garlic until browned.","o Sauté diced beef, onion, and minced garlic until browned.",0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
"o Sauté diced beef, onion, and minced garlic until browned.","o Sauté diced beef, onion, and minced garlic until browned.","o Add beef broth, thyme, salt, and pepper, simmer for 1 hour.","o Add beef broth, thyme, salt, and pepper, simmer for 1 hour.",1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Add beef broth, thyme, salt, and pepper, simmer for 1 hour.","o Add beef broth, thyme, salt, and pepper, simmer for 1 hour.","o Stir in spinach and okra, cook until tender.","o Stir in spinach and okra, cook until tender.",1.01,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Stir in spinach and okra, cook until tender.","o Stir in spinach and okra, cook until tender.",o Serve warm.,o Serve warm.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Serve warm.,o Serve warm.,Peri-Peri Chicken,Peri-Peri Chicken,4.17,-54.02,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Peri-Peri Chicken,Peri-Peri Chicken,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients :,Ingredients:,o 1 pound chicken thighs,o 1 pound chicken thighs,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o 1 pound chicken thighs,o 1 pound chicken thighs,o 1/4 cup peri-peri sauce,o 1/4 cup peri-peri sauce,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/4 cup peri-peri sauce,o 1/4 cup peri-peri sauce,o 2 tablespoons olive oil,o 2 tablespoons olive oil,1.01,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 2 tablespoons olive oil,o 2 tablespoons olive oil,o 1 teaspoon salt,o 1 teaspoon salt,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 teaspoon salt,o 1 teaspoon salt,o 1/2 teaspoon pepper,o 1/2 teaspoon pepper,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/2 teaspoon pepper,o 1/2 teaspoon pepper,Instructions :,Instructions:,0.85,-18,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Instructions :,Instructions:,"o Marinate chicken in peri-peri sauce, olive oil, salt, and pepper for at least 1 hour.","o Marinate chicken in peri-peri sauce, olive oil, salt, and pepper for at least 1 hour.",0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
